ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
изолят	Food	Protein (substance)	88878007	88878007	0
изолят белка	Food	Protein (substance)	88878007	88878007	0
Изолят соевого белка	Food	Soy protein isolate enteral formula (product)	4,42E+14	4,42E+14	0
Изюм	Food	Raisins (substance)	227463004	227463004	0
Икра 	Food	 Fish roe (substance)	227183005	227183005	0
Икра лососевых рыб	Food	 Fish roe (substance)	227183005	227183005	0
Икра осетровых рыб	Food	 Fish roe (substance)	227183005	227183005	0
Икра черная	Food	 Fish roe (substance)	227183005	227183005	0
Имбирь	Food	Ginger (substance)	227400003	227400003	0
Индюк	Food	Turkey - meat (substance)	226967004	226967004	0
Инжир	Food	Figs (substance)	227425007	227425007	0
Ирга	Food	Berry (substance)	63045006	63045006	0
Йогурт	Food	Yogurt (substance)	226863004	226863004	0
кабан	Food	Sus scrofa (organism)	78678003	78678003	0
Кабачок	Food	Zucchini (substance)	227239005	227239005	0
Кабачок цуккини	Food	Zucchini (substance)	227239005	227239005	0
Казеин	Food	Allergy to casein (finding)	5,61E+12	0	1
Кайенский перец	Food	Capsicum frutescens (organism)	24543001	24543001	0
какао	Food	Cocoa drink (substance)	226026007	226026007	0
календула	Food	calendula	0	0	3
Калина	Food	Berry (substance)	63045006	63045006	0
Кальмар	Food	Squid (substance)	735006003	735006003	0
камамбер	Food	Camembert cheese (substance)	226856004	226856004	0
Камбала	Food	Allergy to fish (finding)	417532002	417532002	0
Камбала морская	Food	Allergy to fish (finding)	417532002	417532002	0
Каменный окунь	Food	Allergy to fish (finding)	417532002	417532002	0
Каперсы	Food	Capparis (organism)	79478002	79478002	0
Капский крыжовник	Food	Physalis peruviana (organism)	49154006	49154006	0
капуста	Food	Cabbage (substance)	735108004	735108004	0
Капуста белокочанная	Food	White cabbage (substance)	227229004	227229004	0
Капуста брокколи	Food	Broccoli (substance)	735123009	735123009	0
Капуста брюссельская	Food	Brussels sprouts (substance)	735122004	735122004	0
Капуста грюнколь	Food	Brassica oleracea (organism)	1007001	1007001	0
Капуста зеленая	Food	Cabbage (substance)	735108004	735108004	0
Капуста квашенная	Food	Cabbage (substance)	735108004	735108004	0
Капуста китайская	Food	Chinese cabbage (substance)	227225005	227225005	0
Капуста кольраби	Food	Cabbage (substance)	735108004	735108004	0
Капуста краснокочанная	Food	Red cabbage (substance)	227226006	227226006	0
Капуста морская	Food	Seaweed (substance)	227265009	227265009	0
Капуста савойская	Food	Savoy cabbage (substance)	227227002	227227002	0
Капуста цветная	Food	Cauliflower (substance)	735336002	735336002	0
Каракатица	Food	Cuttlefish (substance)	726759005	726759005	0
Кардамон	Food	Cardamom (substance)	227382009	227382009	0
Каркаде	Food	Tea (substance)	16313001	16313001	0
Каровит	Food	Ceratonia siliqua extract (substance)	418502008	418502008	0
Карп	Food	Carp (substance)	726763003	726763003	0
Карри	Food	Curry leaf (substance)	227393006	227393006	0
Картофель	Food	Allergy to potato (finding)	419619007	0	1
Картофельная мука	Food	Potato flour (substance)	229943006	229943006	0
Катран	Food	Squalus acanthias (organism)	86982000	86982000	0
каша	Food	Porridge (substance)	226617008	226617008	0
Каша гречневая	Food	Fagopyrum esculentum diagnostic allergen extract (product)	411688008	411688008	0
каштан	Food	Chestnut (substance)	260188004	260188004	0
Кедровые орешки	Food	Pine nut (substance)	227511008	227511008	0
Кедровый орех	Food	Pine nut (substance)	227511008	227511008	0
Кервель	Food	Chervil, dried (substance)	227384005	227384005	0
Кета	Food	Oncorhynchus keta (organism), Allergy to fish (finding)	62285003, 417532002	62285003, 417532002	0
Кефаль	Food	Mullet (substance)	735044007	735044007	0
Кефир	Food	Lactobacillus kefir (organism)	61053005	61053005	0
кешью	Food	Allergy to cashew nut (finding)	712838009	0	1
Киви	Food	Allergy to kiwi fruit (finding)	2,32E+13	0	1
Кизил	Food	Dogwood	0	0	3
Кинза	Food	Coriander leaf (substance)	227390009	227390009	0
Киноа 	Food	Quinoa (substance)	227515004	227515004	0
Клейковина	Food	Gluten diagnostic allergen extract (product)	411695004	411695004	0
Клубника	Food	Allergy to strawberry (finding)	91938006	0	1
Клюква	Food	Cranberries (substance)	227421003	227421003	0
Кобылье молоко	Food	Mare's milk diagnostic allergen extract (product)	411721006	411721006	0
кожура	Food	peel	0	0	3
кожура красного яблока	Food	Apple (substance)	35215001	35215001	0
Козий сыр	Food	Goats milk soft cheese (substance)	226852002	226852002	0
Козье молоко	Food	Goat's milk (substance)	83595008	83595008	0
Кока-кола	Food	Sugar sweetened beverage (substance)	818989004	818989004	0
Кокос	Food	Coconut (substance)	735211005	735211005	0
Кокос со сливками	Food	Creamed coconut (substance)	227497006	227497006	0
Кокосовое масло	Food	Allergy to coconut oil (finding)	419814004	0	1
Кокосовое молоко	Food	Coconut milk (substance)	227500000	227500000	0
Кокосовый крем	Food	Coconut cream (substance)	227499009	227499009	0
Кокосовый орех	Food	Coconut (substance)	735211005	735211005	0
колбаса	Food	Sausage (substance)	227020009	227020009	0
Колбаса вареная	Food	Sausage (substance)	227020009	227020009	0
Колбаса копченая	Food	Sausage (substance)	227020009	227020009	0
Кольраби	Food	Cabbage (substance)	735108004	735108004	0
Колючая акула	Food	Squalus acanthias (organism), Allergy to meat (finding)	86982000, 703931001	86982000, 703931001	0
Конина	Food	Horse - meat (substance), Allergy to meat (finding)	710171001, 703931001	710171001, 703931001	0
консерванты	Food	Food preservative (substance)	51386004	51386004	0
Консервированный горошек	Food	Canned peas (substance)	227332004	227332004	0
Консервированный зеленый горошек	Food	Canned peas (substance)	227332004	227332004	0
Консервированный нут	Food	Canned chick peas (substance)	227326009	227326009	0
Консервированный паштет из горошка	Food	Canned mushy peas (substance)	227335002	227335002	0
консервированный продукт	Food	 Canned food (substance)	227989005	227989005	0
конфета	Food	Candy (substance)	227607007	227607007	0
концентрат белка	Food	Protein (substance)	88878007	88878007	0
Концентрат молочного белка	Food	Milk protein (substance)	10827009	10827009	0
Концентрат сывороточного белка	Food	Serum protein (substance)	79329006	79329006	0
коньяк	Food	Brandy (substance)	226019007	226019007	0
копчености	Food	smoked meats	0	0	3
корень сельдерея	Food	Celery (substance)	256326004	256326004	0
Кориандр	Food	Coriander seed (substance)	227391008	227391008	0
Корица	Food	Allergy to cinnamon (finding)	418397007	0	1
корнеплод	Food	root vegetable	0	0	3
Коровье молоко	Food	Cow's milk (substance)	3718001	3718001	0
Косуля	Food	Genus Capreolus (organism), Allergy to meat (finding)	388301008, 703931001	388301008, 703931001	0
Кофе	Food	Coffee (substance)	29263009	29263009	0
Кофе молотый	Food	Coffee (substance)	29263009	29263009	0
Кофе растворимый	Food	Coffee (substance)	29263009	29263009	0
кофеин	Food	Allergy to caffeine (finding)	418344001	0	1
Краб	Food	Crab (substance)	736159005	736159005	0
Краб большой	Food	Crab (substance)	736159005	736159005	0
красное	Food	Red color (qualifier value)	371240000	371240000	0
Крахмал	Food	Food starch (substance)	74242007	74242007	0
креветка	Food	Allergy to shrimp (finding)	419972009	0	1
кресс	Food	Watercress (substance)	227277004	227277004	0
Кресс-салат	Food	Watercress (substance)	227277004	227277004	0
крупа	Food	Grain (substance)	264331002	264331002	0
Крыжовник	Food	Gooseberries (substance)	227427004	227427004	0
Кукуруза	Food	Allergy to corn (finding)	419573007	0	1
Кукуруза зерно	Food	Allergy to corn (finding)	419573007	0	1
Кукурузная крупа	Food	Allergy to corn (finding)	419573007	0	1
Кукурузная мука	Food	Cornflour (substance)	229936000	229936000	0
Кукурузный крахмал	Food	Cornflour (substance)	229936000	229936000	0
Кунжут	Food	Sesame seed (substance)	260167008	260167008	0
Кунжутные семечки	Food	Sesame seed (substance)	260167008	260167008	0
кура	Food	Allergy to chicken meat (finding)	703932008	0	1
курага	Food	Dried apricot (substance)	227452002	227452002	0
Куриное мясо	Food	Allergy to chicken meat (finding)	703932008	0	1
куриное яйцо	Food	Allergy to egg protein (finding)	213020009	0	1
Куриное яйцо цельное	Food	Allergy to egg protein (finding)	213020009	0	1
курица	Food	Allergy to chicken meat (finding)	703932008	0	1
Куркума	Food	Turmeric (substance)	227414003	227414003	0
Лаврак	Food	Sea bass (substance)	726749009	726749009	0
Лавровый лист	Food	Bay leaf (substance)	227379004	227379004	0
Лайм	Food	Lime - fruit (substance)	227430006	227430006	0
лактальбумин	Food	Lactalbumin (substance)	102697003	102697003	0
